Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0800101001;Total;1.497
Ambos Sexos;0800101002;Total;1.868
Ambos Sexos;0800101003;Total;835
Ambos Sexos;0800101004;Total;1.922
Ambos Sexos;0800101005;Total;1.844
Ambos Sexos;0800101007;Total;2.627
Ambos Sexos;0800101008;Total;1.945
Ambos Sexos;0800201001;Total;282
Ambos Sexos;0800301001;Total;2.752
Ambos Sexos;0800301002;Total;2.519
Ambos Sexos;0800301003;Total;2.262
Ambos Sexos;0800301004;Total;2.371
Ambos Sexos;0800401001;Total;261
Ambos Sexos;0800501001;Total;2.527
Ambos Sexos;0800501002;Total;1.729
Ambos Sexos;0800501003;Total;2.504
Ambos Sexos;0800501004;Total;1.131
Ambos Sexos;0800501005;Total;755
Ambos Sexos;0800601001;Total;2.536
Ambos Sexos;0800601002;Total;2.321
Ambos Sexos;0800601003;Total;1.237
Ambos Sexos;0800601004;Total;1.241
Ambos Sexos;0800602001;Total;1.765
Ambos Sexos;0800602002;Total;1.944
Ambos Sexos;0800602003;Total;1.862
Ambos Sexos;0800602004;Total;1.354
Ambos Sexos;0800602005;Total;1.681
Ambos Sexos;0800701001;Total;1.590
Ambos Sexos;0800701002;Total;3.056
Ambos Sexos;0800702001;Total;2.154
Ambos Sexos;0800702002;Total;2.321
Ambos Sexos;0800801001;Total;219
Ambos Sexos;0800901001;Total;846
Ambos Sexos;0800901002;Total;1.686
Ambos Sexos;0800901003;Total;896
Ambos Sexos;0800901004;Total;1.933
Ambos Sexos;0800901005;Total;1.136
Ambos Sexos;0800901006;Total;2.181
Ambos Sexos;0800902001;Total;1.231
Ambos Sexos;0800902002;Total;1.391
Ambos Sexos;0800902003;Total;1.236
Ambos Sexos;0801001001;Total;1.491
Ambos Sexos;0801002001;Total;1.577
Ambos Sexos;0801002002;Total;942
Ambos Sexos;0801002003;Total;1.752
Ambos Sexos;0801101001;Total;2.220
Ambos Sexos;0801201001;Total;2.289
Ambos Sexos;0801301001;Total;1.697
Ambos Sexos;0801401001;Total;2.512
Ambos Sexos;0801501001;Total;1.476
Ambos Sexos;0801501002;Total;1.258
Ambos Sexos;0801501003;Total;996
Ambos Sexos;0801501004;Total;1.432
Ambos Sexos;0801501005;Total;1.513
Ambos Sexos;0801501007;Total;1.250
Ambos Sexos;0801502001;Total;1.370
Ambos Sexos;0801502002;Total;1.727
Ambos Sexos;0801502003;Total;949
Ambos Sexos;0801502004;Total;2.082
